用例ID,用例名称,执行步骤,预期结果,转人工预期,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,来源分类,执行结果,缺陷记录,是否使用新会话,实际回复内容（英文）,知识库是否命中,回复是否准确,意图标签是否准确,实际识别的意图标签,转人工时机是否准确,备注
TC-H70-035-N,[门店信息] 售后服务中心在哪里？【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“售后服务中心在哪里？”。步骤3：核对机器人识别的业务场景是否为“门店信息”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“门店信息”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,需确认具体城市服务网点覆盖。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,售后服务中心在哪里？,Where is the nearest service center?,,,,,,,,,,,
TC-H70-036-N,[官方身份说明] 手机出问题怎么办？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“手机出问题怎么办？”。步骤3：核对机器人识别的业务场景是否为“官方身份说明”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"如果您的 HOT 70 Pro 5G 出现任何问题，请携带设备和购买凭证前往任何 Infinix 授权服务中心。我们的售后团队将在保修范围内为您提供诊断和维修服务。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,手机出问题怎么办？,What should I do if the phone has a problem?,,,,,,,,,,,
TC-H70-036-H-C01,[官方身份说明] 手机出问题怎么办？【条件式转人工场景：远程无法解决的硬件故障】,步骤1：先执行关联标准用例“TC-H70-036-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“手机突然开不了机，按什么都没反应。”。步骤3：核对机器人能结合前序问题识别当前触发条件“远程无法解决的硬件故障”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“远程无法解决的硬件故障”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,远程无法解决的硬件故障,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-036-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,手机突然开不了机，按什么都没反应。,"The phone suddenly won't turn on, no matter what I press.",,,,,,,,,,,
TC-H70-036-H-C02,[官方身份说明] 手机出问题怎么办？【条件式转人工场景：保修争议】,步骤1：先执行关联标准用例“TC-H70-036-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“服务中心说不在保修范围，但我才买了一个月。”。步骤3：核对机器人能结合前序问题识别当前触发条件“保修争议”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“保修争议”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,保修争议,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-036-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,服务中心说不在保修范围，但我才买了一个月。,"The service center says it isn't covered, but I bought it only a month ago.",,,,,,,,,,,
TC-H70-037-N,[活动规则] 门店支持哪些付款方式？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“门店支持哪些付款方式？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"付款方式因门店而异。大多数 Infinix 门店接受现金、银行卡和移动金融服务（如 bKash、Nagad）。如需了解您所选择门店的具体付款方式，请联系客服或直接到店咨询。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,门店支持哪些付款方式？,What payment methods do the stores accept?,,,,,,,,,,,
TC-H70-037-H-C01,[活动规则] 门店支持哪些付款方式？【条件式转人工场景：用户询问特定门店支持的付款方式】,步骤1：先执行关联标准用例“TC-H70-037-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“Jamuna Future Park 那家店能刷卡吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户询问特定门店支持的付款方式”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户询问特定门店支持的付款方式”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户询问特定门店支持的付款方式,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-037-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,Jamuna Future Park 那家店能刷卡吗？,Can I pay by card at the Jamuna Future Park store?,,,,,,,,,,,
TC-H70-037-H-C02,[活动规则] 门店支持哪些付款方式？【条件式转人工场景：支付失败】,步骤1：先执行关联标准用例“TC-H70-037-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我试了几次都付不了，页面一直报错。”。步骤3：核对机器人能结合前序问题识别当前触发条件“支付失败”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“支付失败”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,支付失败,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-037-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我试了几次都付不了，页面一直报错。,"I've tried several times, but the payment keeps failing with an error.",,,,,,,,,,,
TC-H70-038-N,[HOT 70 Pro 商品信息] HOT 70 Pro 和其他 Infinix 手机有什么区别？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“HOT 70 Pro 和其他 Infinix 手机有什么区别？”。步骤3：核对机器人识别的业务场景是否为“HOT 70 Pro 商品信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G 是我们最新的旗舰级设备，配备 144Hz 显示屏、索尼影像系统、IP68/IP69 防护、6000mAh 电池、变色设计和 DIY 立方体 LED。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT 70 Pro 和其他 Infinix 手机有什么区别？,How is the HOT 70 Pro different from other Infinix phones?,,,,,,,,,,,
TC-H70-038-H-C01,[HOT 70 Pro 商品信息] HOT 70 Pro 和其他 Infinix 手机有什么区别？【条件式转人工场景：用户需要详细参数对比】,步骤1：先执行关联标准用例“TC-H70-038-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“跟 Note 系列比，这款拍照和续航哪个更好？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户需要详细参数对比”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户需要详细参数对比”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户需要详细参数对比,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-038-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,跟 Note 系列比，这款拍照和续航哪个更好？,"Compared with the Note series, which has better cameras and battery life?",,,,,,,,,,,
TC-H70-038-H-C02,[HOT 70 Pro 商品信息] HOT 70 Pro 和其他 Infinix 手机有什么区别？【条件式转人工场景：选购建议】,步骤1：先执行关联标准用例“TC-H70-038-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我主要打游戏，选这款还是别的型号？”。步骤3：核对机器人能结合前序问题识别当前触发条件“选购建议”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“选购建议”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,选购建议,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-038-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我主要打游戏，选这款还是别的型号？,I mainly use my phone for gaming. Should I get this one or another model?,,,,,,,,,,,
TC-H70-039-N,[活动规则] 预订后能修改手机号吗？【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“预订后能修改手机号吗？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“活动规则”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,修改注册信息需人工处理。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订后能修改手机号吗？,Can I change my phone number after pre-ordering?,,,,,,,,,,,
TC-H70-040-N,[活动规则] 怎么查我的预订状态？【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“怎么查我的预订状态？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“活动规则”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,需人工查询后台预订记录。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,怎么查我的预订状态？,How can I check my pre-order status?,,,,,,,,,,,
TC-H70-041-N,[门店信息] 门店营业时间是什么？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“门店营业时间是什么？”。步骤3：核对机器人识别的业务场景是否为“门店信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"门店营业时间因地点而异。大多数 Infinix 门店营业时间为上午 10:00 至晚上 9:00。如需了解您所选择门店的确切营业时间，请点击""查找门店""。
[https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online)

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,门店营业时间是什么？,What are the store opening hours?,,,,,,,,,,,
TC-H70-041-H-C01,[门店信息] 门店营业时间是什么？【条件式转人工场景：用户询问特定门店营业时间】,步骤1：先执行关联标准用例“TC-H70-041-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“Dhanmondi 那家店今天几点关门？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户询问特定门店营业时间”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户询问特定门店营业时间”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户询问特定门店营业时间,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-041-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,Dhanmondi 那家店今天几点关门？,What time does the Dhanmondi store close today?,,,,,,,,,,,
TC-H70-042-N,[提机规则] 什么时候可以提机？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「什么时候可以提机？」。步骤3：核对机器人识别的业务场景是否为「提机规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"取货安排：
? 预购取货开始时间：7月13日（发布周第一天）
? 取货时间：7月13日–19日（发布周）
? 门店营业时间：请查询您所选门店的营业时间

请在取货期内前往您所选的门店，并携带确认码和有效身份证件。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",否,标准问题不转人工；条件式转人工备注：如用户到店无法提机、凭证异常、超过截止时间，转人工。,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,什么时候可以提机？,When can I pick up the phone?,,,,,,,,,,,
TC-H70-043-N,[活动权益] 到店有什么礼品？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「到店有什么礼品？」。步骤3：核对机器人识别的业务场景是否为「活动权益」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"在发布期间（7月13日至19日）访问任何参与活动的Infinix门店，即可获得独家店内礼品和促销！礼品数量有限，先到先得。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",否,标准问题不转人工；条件式转人工备注：如礼品已发完、用户投诉，转人工。,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,到店有什么礼品？,What gifts do I get when I visit the store?,,,,,,,,,,,
TC-H70-044-N,[活动规则] 线上预订后，多久内要去门店付订金？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「线上预订后，多久内要去门店付订金？」。步骤3：核对机器人识别的业务场景是否为「活动规则」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"请在预订期 2026 年 7 月 8 日至 7 月 12 日期间，前往您选择的 Infinix 门店线下支付 BDT 5,000 订金，以确认预订。

如果未在预订期内完成线下订金确认，您的预订名额可能无法保留。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",否,标准问题不转人工；条件式转人工备注：用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,线上预订后，多久内要去门店付订金？,How soon after pre-ordering online do I need to go to the store and pay the deposit?,,,,,,,,,,,
TC-H70-045-N,[私域侧活动] 线上抽奖/免单这是什么活动？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「线上抽奖/免单这是什么活动？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"Infinix HOT70 Pro免单大奖活动：活动期内购买 HOT70 Pro并完成到店提机、回传凭证，即可参与抽奖，有机会赢得免单（退还购机款）。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,线上抽奖/免单这是什么活动？,What is this online lucky draw and purchase reimbursement promotion?,,,,,,,,,,,
TC-H70-046-N,[私域侧活动] 线上免单活动时间是什么时候？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「线上免单活动时间是什么时候？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"活动期为 2026 年 7 月 8 日 0 点至 7 月 19 日 0 点；开奖日为 7 月 20 日。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,线上免单活动时间是什么时候？,When does the online purchase reimbursement promotion run?,,,,,,,,,,,
TC-H70-047-N,[私域侧活动] 免单是什么意思？是免费送手机吗？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「免单是什么意思？是免费送手机吗？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"免单指退还你购买 HOT70 Pro的实付购机款。需先正常购买，中奖后退款，并非直接免费送。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,免单是什么意思？是免费送手机吗？,What does purchase reimbursement mean? Do you actually give away a phone for free?,,,,,,,,,,,
TC-H70-048-N,[私域侧活动] 一共抽几个名额？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「一共抽几个名额？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"大奖一名

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,一共抽几个名额？,How many winners will there be?,,,,,,,,,,,
TC-H70-049-N,[私域侧活动] 怎样才有资格参加抽奖？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「怎样才有资格参加抽奖？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"需同时满足：① 活动期内完成 HOT70 Pro 线上预订；② 到店完成提机；③ 添加官方 WhatsApp 客服；④ 所购为指定机型 HOT70 Pro。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,怎样才有资格参加抽奖？,What do I need to do to qualify for the lucky draw?,,,,,,,,,,,
TC-H70-050-N,[私域侧活动] 只加了 WhatsApp 能参加抽奖吗？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「只加了 WhatsApp 能参加抽奖吗？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"不能。加 WhatsApp 只是第一步，还需购买HOT 70 Pro 并完成到店提机才有资格。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,只加了 WhatsApp 能参加抽奖吗？,Can I join the lucky draw just by adding the WhatsApp account?,,,,,,,,,,,
TC-H70-051-N,[私域侧活动] 只预订没提机能参加吗？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「只预订没提机能参加吗？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"不能。必须完成到店提机并回传凭证，才正式获得抽奖名额。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,只预订没提机能参加吗？,Can I join if I pre-order but do not pick up the phone?,,,,,,,,,,,
TC-H70-052-N,[私域侧活动] 买别的机型能参加吗？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「买别的机型能参加吗？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"不能，本活动仅限指定机型 Infinix HOT70 Pro。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,买别的机型能参加吗？,Can I join if I buy a different phone model?,,,,,,,,,,,
TC-H70-053-N,[私域侧活动] 活动期之外买的算吗？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「活动期之外买的算吗？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"不算。须在 7 月 8 日至 7 月 19 日活动期内购买并完成提机。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,活动期之外买的算吗？,Does a purchase made outside the promotion period count?,,,,,,,,,,,
TC-H70-054-N,[私域侧活动] 发预订订单截图就能抽奖了吗？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「发预订订单截图就能抽奖了吗？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"发订单截图只是先“锁定”抽奖资格，还需完成到店提机后才正式进入抽奖池。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,发预订订单截图就能抽奖了吗？,Is sending a screenshot of my pre-order enough to enter the lucky draw?,,,,,,,,,,,
TC-H70-055-N,[私域侧活动] 怎么正式获得抽奖名额？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「怎么正式获得抽奖名额？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"到店提机后，把你和新机的露脸合照发给客服，即可进入抽奖池。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,怎么正式获得抽奖名额？,How do I officially get an entry for the lucky draw?,,,,,,,,,,,
TC-H70-056-N,[私域侧活动] 为什么要发露脸照片？不发可以吗？【待确认标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：「为什么要发露脸照片？不发可以吗？」。步骤3：核对机器人识别的业务场景是否为「私域侧活动」。步骤4：等待机器人完整回复并核对核心事实。步骤5：记录知识命中、回答完整性和转人工行为。步骤6：该QA当前为「待确认」，执行结果单独统计。,"用于核验你确实本人完成了提机，保证活动公平。可以用其提机凭证和下单手机号代替。

验收要求：机器人应命中上述现有知识口径，不增加知识库外信息；该QA状态为「待确认」，业务确认前不计入正式回答准确率。",待确认,知识库尚未明确转人工规则，待业务确认,验证新会话意图分类、知识命中及现有回复口径；待确认数据单独统计,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,为什么要发露脸照片？不发可以吗？,Why do I have to send a photo showing my face? Can I skip it?,,,,,,,,,,,
