用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,执行阶段,是否使用新会话,实际回复内容（英文）,是否存在知识库,知识库是否命中（日志）,知识库命中（人工复核）,日志客户标签,LLM推测预期标签,LLM判定客户标签是否准确,客户标签准确（人工复核）,转人工预期,日志转人工,转人工是否准确,转人工准确（人工复核）,语义是否合理（LLM）,回复是否准确（LLM）,回复准确（人工复核）,服务端真实耗时,接口响应时长,备注
TC-H70-023-H-C03,[预订规则] 线上预订后，多久内要去门店付订金？【条件式转人工场景：the booking period has passed】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“the booking period has passed”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“the booking period has passed”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,the booking period has passed,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-023-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：the booking period has passed,Could you help me with the booking period has passed?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-024-N,[预订规则] 订金线上能不能付？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"No. Online pre-booking is free and does not require online payment.

The BDT 5,000 deposit should be paid offline at your selected Infinix store to confirm the pre-order.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,订金线上能不能付？,Can the deposit be paid online?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-024-H-C01,[预订规则] 订金线上能不能付？【条件式转人工场景：Transfer to a human agent if the payment fails】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the payment fails”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the payment fails”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the payment fails,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-024-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the payment fails,Could you help me with Transfer to a human agent if the payment fails?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-024-H-C02,[预订规则] 订金线上能不能付？【条件式转人工场景：the user requests an online transfer】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“the user requests an online transfer”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“the user requests an online transfer”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,the user requests an online transfer,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-024-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：the user requests an online transfer,Could you help me with the user requests an online transfer?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-025-N,[预订规则] 可以预订几台？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Each order may be limited to 1 unit under the campaign rules.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,可以预订几台？,How many units can be booked?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-025-H-C01,[预订规则] 可以预订几台？【条件式转人工场景：Transfer to human for multi-unit purchases】,步骤1：先执行关联标准用例“TC-H70-025-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human for multi-unit purchases”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human for multi-unit purchases”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human for multi-unit purchases,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-025-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human for multi-unit purchases,Could you help me with Transfer to human for multi-unit purchases?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-025-H-C02,[预订规则] 可以预订几台？【条件式转人工场景：group buying】,步骤1：先执行关联标准用例“TC-H70-025-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“group buying”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“group buying”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,group buying,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-025-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：group buying,Could you help me with group buying?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-025-H-C03,[预订规则] 可以预订几台？【条件式转人工场景：bulk procurement】,步骤1：先执行关联标准用例“TC-H70-025-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“bulk procurement”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“bulk procurement”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,bulk procurement,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-025-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：bulk procurement,Could you help me with bulk procurement?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-025-H-C04,[预订规则] 可以预订几台？【条件式转人工场景：special store handling】,步骤1：先执行关联标准用例“TC-H70-025-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“special store handling”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“special store handling”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,special store handling,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-025-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：special store handling,Could you help me with special store handling?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-026-N,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Color availability depends on the stock at your selected store.

Your selected color is a preference, but final availability will be confirmed at the time of pickup or delivery.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,选了某个颜色，门店能保证有吗？,"If I choose a certain color, can the store guarantee it is available?",,是,,是,,,,,,,否,,,,,,,,,
TC-H70-026-H-C01,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【条件式转人工场景：Transfer to human when user strongly requests a specific color】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when user strongly requests a specific color”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when user strongly requests a specific color”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when user strongly requests a specific color,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-026-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when user strongly requests a specific color,Could you help me with Transfer to human when user strongly requests a specific color?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-026-H-C02,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【条件式转人工场景：inquires about specific store color inventory】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“inquires about specific store color inventory”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“inquires about specific store color inventory”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,inquires about specific store color inventory,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-026-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：inquires about specific store color inventory,Could you help me with inquires about specific store color inventory?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-026-H-C03,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【条件式转人工场景：complains about color inconsistency】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“complains about color inconsistency”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“complains about color inconsistency”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,complains about color inconsistency,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-026-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：complains about color inconsistency,Could you help me with complains about color inconsistency?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-027-N,[门店信息] IBP / IBO 门店是什么意思？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"IBP/IBO stores refer to participating Infinix authorized stores.

Your deposit confirmation, pickup and stock availability will be handled by the selected participating store.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,IBP / IBO 门店是什么意思？,What does IBP/IBO store mean?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-027-H-C01,[门店信息] IBP / IBO 门店是什么意思？【条件式转人工场景：Transfer to a human agent when the user asks whether a specific store is IBP】,步骤1：先执行关联标准用例“TC-H70-027-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent when the user asks whether a specific store is IBP”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent when the user asks whether a specific store is IBP”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent when the user asks whether a specific store is IBP,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-027-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent when the user asks whether a specific store is IBP,Could you help me with Transfer to a human agent when the user asks whether a specific store is IBP?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-027-H-C02,[门店信息] IBP / IBO 门店是什么意思？【条件式转人工场景：IBO】,步骤1：先执行关联标准用例“TC-H70-027-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“IBO”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“IBO”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,IBO,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-027-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：IBO,Can you confirm whether this specific store is an IBO store?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-027-H-C03,[门店信息] IBP / IBO 门店是什么意思？【条件式转人工场景：asks about store qualifications】,步骤1：先执行关联标准用例“TC-H70-027-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“asks about store qualifications”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“asks about store qualifications”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,asks about store qualifications,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-027-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：asks about store qualifications,Could you help me with asks about store qualifications?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-028-N,[免单活动] 线上抽奖/免单这是什么活动？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Infinix HOT 70 Pro purchase reimbursement grand prize campaign:

During the campaign, purchase HOT 70 Pro, complete in-store pickup, and submit the required proof to join the lucky draw for a chance to win full reimbursement of the phone purchase price.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,线上抽奖/免单这是什么活动？,What is this online lucky draw/free order event?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-029-N,[免单活动] 线上免单活动时间是什么时候？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Campaign period: August 1, 2026 00:00:00 to August 16, 2026 23:59:59. Pre-order: August 1–11, 2026. Final payment / pickup: August 12–16, 2026.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,线上免单活动时间是什么时候？,When is the online free order event time?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-030-N,[免单活动] 怎么开奖？公平吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"The organizer will randomly select 1 winner from all qualified entries in the backend.

The process will be open and transparent, such as through screen recording or public announcement.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,怎么开奖？公平吗？,How is the lottery drawn? Is it fair?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-031-N,[免单活动] 中奖后怎么领奖？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"After receiving the winner notification, please reply within the required time and cooperate with identity and purchase proof verification.

The reimbursement prize will then be refunded to you.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,中奖后怎么领奖？,How to claim the prize after winning?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-032-N,[免单活动] 中奖后退货还能拿免单吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"No. If the purchase becomes invalid because of return or refund after winning, the winner qualification will be cancelled and the reward will be recovered.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,中奖后退货还能拿免单吗？,Can I still get a free order if I return the product after winning the prize?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-032-H-C01,[免单活动] 中奖后退货还能拿免单吗？【条件式转人工场景：Transfer to a human agent if the user says they want to return the product】,步骤1：先执行关联标准用例“TC-H70-032-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the user says they want to return the product”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the user says they want to return the product”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the user says they want to return the product,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-032-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the user says they want to return the product,Could you help me with Transfer to a human agent if the user says they want to return the product?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-032-H-C02,[免单活动] 中奖后退货还能拿免单吗？【条件式转人工场景：request a refund】,步骤1：先执行关联标准用例“TC-H70-032-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“request a refund”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“request a refund”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,request a refund,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-032-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：request a refund,Could you help me with request a refund?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-032-H-C03,[免单活动] 中奖后退货还能拿免单吗？【条件式转人工场景：the agent should ask for the reason】,步骤1：先执行关联标准用例“TC-H70-032-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“the agent should ask for the reason”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“the agent should ask for the reason”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,the agent should ask for the reason,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-032-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：the agent should ask for the reason,Could you help me with the agent should ask for the reason?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-032-H-C04,[免单活动] 中奖后退货还能拿免单吗？【条件式转人工场景：reassure the user】,步骤1：先执行关联标准用例“TC-H70-032-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“reassure the user”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“reassure the user”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,reassure the user,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-032-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：reassure the user,Could you help me with reassure the user?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-032-H-C05,[免单活动] 中奖后退货还能拿免单吗？【条件式转人工场景：try to retain the customer】,步骤1：先执行关联标准用例“TC-H70-032-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“try to retain the customer”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“try to retain the customer”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,try to retain the customer,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-032-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：try to retain the customer,Could you help me with try to retain the customer?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-033-N,[免单活动] 免单是什么意思？是免费送手机吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"""Free order"" means the actual amount you paid to purchase HOT 70 Pro will be refunded if you win.

You still need to purchase the phone first. The prize is a refund after winning, not a free phone given upfront.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,免单是什么意思？是免费送手机吗？,"What does ""free order"" mean? Does it mean a free phone?",,是,,是,,,,,,,否,,,,,,,,,
TC-H70-034-N,[免单活动] 一共抽几个名额？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"There is 1 grand prize winner.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,一共抽几个名额？,How many spots are there in total?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-034-H-C01,[免单活动] 一共抽几个名额？【条件式转人工场景：Transfer to a human agent if the user asks about the winning probability】,步骤1：先执行关联标准用例“TC-H70-034-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the user asks about the winning probability”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the user asks about the winning probability”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the user asks about the winning probability,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-034-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the user asks about the winning probability,Could you help me with Transfer to a human agent if the user asks about the winning probability?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-035-N,[免单活动] 怎样才有资格参加抽奖？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"To qualify, you must meet all of the following requirements:
1. Complete HOT 70 Pro online pre-order during the campaign period.
2. Complete in-store pickup.
3. Add the official WhatsApp customer service account.
4. Purchase the specified model, HOT 70 Pro.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,怎样才有资格参加抽奖？,How to qualify for the lottery?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-036-N,[免单活动] 只加了 WhatsApp 能参加抽奖吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"No. Adding WhatsApp is only the first step.

You must also purchase HOT 70 Pro and complete in-store pickup to qualify for the lucky draw.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,只加了 WhatsApp 能参加抽奖吗？,Can I participate in the lucky draw by only adding WhatsApp?,,是,,是,,,,,,,否,,,,,,,,,
